Route,Cost
"['Warehouse', 'Four Square Glen Eden', 'Four Square Fair Price Henderson', 'Four Square Hobsonville', 'Four Square BKs Torbay', 'Four Square Lancaster', 'Fresh Collective Alberton', 'Warehouse']",10590.36
"['Warehouse', 'Four Square Lancaster', 'Four Square BKs Torbay', 'Four Square Hobsonville', 'Four Square Fair Price Henderson', 'Four Square Glen Eden', 'Warehouse']",10253.95
"['Warehouse', 'Four Square Glen Eden', 'Four Square Fair Price Henderson', 'Four Square Hobsonville', 'Four Square BKs Torbay', 'Fresh Collective Alberton', 'Warehouse']",9312.490000000002
"['Warehouse', 'Four Square Glen Eden', 'Four Square Fair Price Henderson', 'Four Square BKs Torbay', 'Four Square Lancaster', 'Fresh Collective Alberton', 'Warehouse']",10013.25
"['Warehouse', 'Four Square Lancaster', 'Four Square BKs Torbay', 'Four Square Hobsonville', 'Four Square Fair Price Henderson', 'Fresh Collective Alberton', 'Warehouse']",9958.660000000002
"['Warehouse', 'Four Square Glen Eden', 'Four Square Hobsonville', 'Four Square BKs Torbay', 'Four Square Lancaster', 'Fresh Collective Alberton', 'Warehouse']",9910.04
"['Warehouse', 'Four Square Glen Eden', 'Four Square Fair Price Henderson', 'Four Square Hobsonville', 'Four Square Lancaster', 'Fresh Collective Alberton', 'Warehouse']",8335.79
"['Warehouse', 'Four Square Hobsonville', 'Four Square Lancaster', 'New World Victoria Park', 'Fresh Collective Alberton', 'Warehouse']",6670.929999999999
"['Warehouse', 'New World New Lynn', 'Four Square Hobsonville', 'Four Square Lancaster', 'Fresh Collective Alberton', 'Warehouse']",7254.79
"['Warehouse', 'Four Square Hobsonville', 'Four Square Lancaster', 'Fresh Collective Alberton', 'New World Mt Roskill', 'Warehouse']",6629.01
"['Warehouse', 'Four Square Hobsonville', 'Four Square Lancaster', 'New World Milford', 'Fresh Collective Alberton', 'Warehouse']",7440.129999999999
"['Warehouse', 'New World Metro Queen St', 'Four Square Lancaster', 'Four Square Hobsonville', 'Fresh Collective Alberton', 'Warehouse']",7288.679999999999
"['Warehouse', 'Four Square Hobsonville', 'New World Long Bay', 'Four Square Lancaster', 'Fresh Collective Alberton', 'Warehouse']",8619.8
"['Warehouse', 'New World Green Bay', 'Four Square Hobsonville', 'Four Square Lancaster', 'Fresh Collective Alberton', 'Warehouse']",7609.0199999999995
"['Warehouse', 'Four Square Hobsonville', 'Four Square Lancaster', 'New World Devonport', 'Fresh Collective Alberton', 'Warehouse']",8657.429999999998
"['Warehouse', 'Four Square Hobsonville', 'New World Browns Bay', 'Four Square Lancaster', 'Fresh Collective Alberton', 'Warehouse']",8169.59
"['Warehouse', 'Four Square Hobsonville', 'New World Albany', 'Four Square Lancaster', 'Fresh Collective Alberton', 'Warehouse']",7579.28
